dis_along_flowline,area,mean_elevation,slope,consensus_ice_thickness,millan_ice_thickness,millan_v,hugonnet_dhdt,bin_elevation,dx,width
31.356590201360415,30000.0,4017.973876953125,0.44619300961494446,30.062245075797968,17.847133196552818,1.5151562901367397,-0.21813733875751495,4005.0,62.71318040272083,478.36833991437055
89.17403858839343,50000.0,3975.546142578125,0.5157067179679871,42.992023766126316,23.241531294653015,2.443091765147116,-0.5000995993614197,3975.0,52.921716371345184,944.7917306603614
138.69414610628405,30000.0,3936.633056640625,0.5767253637313843,47.083514354359735,30.93206869794005,3.198863897831135,-0.18417172133922577,3945.0,46.11849866443605,650.4981920223323
187.02746771582196,30000.0,3918.909423828125,0.5356216430664062,28.691853541956164,16.85380359343003,3.0949207953018827,-0.9007880091667175,3915.0,50.54814455463972,593.493594360752
272.11976750916335,90000.0,3881.048583984375,0.24569353461265564,54.809932595438205,35.55607994276093,6.939824171207132,-0.4468402862548828,3885.0,119.63645503204309,752.2790605580436
373.8982910694606,290000.0,3855.6552734375,0.34332361817359924,49.83527754199183,28.071670950948356,5.948669639402064,-0.29291996359825134,3855.0,83.9205920885514,3455.6476876854913
451.5798811257175,320000.0,3824.954345703125,0.39755794405937195,46.43362874360708,30.195072513269178,6.304279211958901,-0.3020682632923126,3825.0,71.44258802396254,4479.121051615163
520.4626882241713,420000.0,3791.891845703125,0.4247911870479584,48.77213458892763,33.15103720991579,6.7757132526932145,-0.3458428382873535,3795.0,66.3230261729451,6332.642284819763
596.7476540766665,580000.0,3763.617431640625,0.33474797010421753,51.31407245830938,34.55084324753666,7.262991484970157,-0.3306965231895447,3765.0,86.24690553204539,6724.87895562234
674.2328096951558,680000.0,3733.44970703125,0.4115980863571167,53.756673659913716,33.37570083876371,7.54138356006951,-0.22491554915905,3735.0,68.72340570493313,9894.736633391089
741.7361146022367,860000.0,3703.501708984375,0.42501676082611084,55.68389667492737,36.457975647512995,8.171812832552048,-0.24469202756881714,3705.0,66.28320410922873,12974.629267812668
811.6706869238242,1220000.0,3672.921630859375,0.38711512088775635,63.954050455854784,43.843541735077885,9.962033654418894,-0.25407037138938904,3675.0,73.58594053394617,16579.254014388764
897.3671317267119,1440000.0,3643.9443359375,0.297616571187973,83.42992268452109,64.25652558412688,14.214911094078603,-0.2779083251953125,3645.0,97.80694907182927,14722.880262244622
1003.796247496855,1950000.0,3614.721435546875,0.25507351756095886,82.53820709285087,67.30882206554149,14.820502295574752,-0.24312764406204224,3615.0,115.05128246845698,16948.963611375835
1121.6573382857882,2120000.0,3584.939208984375,0.24367006123065948,84.94136006525594,83.94589518873539,20.540808758785563,-0.25341740250587463,3585.0,120.67089910940929,17568.444551638328
1226.4484241555906,2150000.0,3555.135498046875,0.3254195749759674,80.54039813805012,87.85867396035215,24.52285137172243,-0.314364492893219,3555.0,88.91127263019521,24181.410707530882
1315.3464789303684,2290000.0,3524.333740234375,0.3255096673965454,85.01165574795917,98.26050637730846,26.860804856860838,-0.36187031865119934,3525.0,88.88483691936041,25763.674428266906
1416.5134865070015,2380000.0,3494.5947265625,0.2585182785987854,91.30319955251402,101.74899955556137,29.455329271353424,-0.3553633987903595,3495.0,113.44917823390558,20978.556540030626
1527.549030433075,2650000.0,3465.068359375,0.2694697678089142,92.02800968262298,100.78079318135433,31.935918885364412,-0.30561330914497375,3465.0,108.62190961824115,24396.55138925102
1641.3117958303242,2370000.0,3434.1875,0.2471470683813095,104.30214917934566,129.15747021325726,41.112253319478405,-0.26981016993522644,3435.0,118.90362117625715,19932.10952328208
1747.6679000089919,2280000.0,3405.408935546875,0.3095216453075409,101.95387007247793,136.44359971337477,45.22260273319732,0.0210636705160141,3405.0,93.80858718107815,24304.811196004153
1843.16988048858,2310000.0,3375.236572265625,0.2993796467781067,102.57101010116509,141.31366322772357,48.65233324353491,-0.11872505396604538,3375.0,97.19537377809797,23766.56326538595
1954.3607453873078,2350000.0,3345.997314453125,0.23520714044570923,120.43221654489219,169.20341306595157,55.67760140306826,-0.2719283401966095,3345.0,125.1863560193576,18772.0137778962
2058.817669537413,2150000.0,3314.579345703125,0.3440544605255127,109.65433703875641,155.64894100984188,55.608751214772234,-0.2932756245136261,3315.0,83.72749228085264,25678.542870818503
2157.98254995014,2270000.0,3284.192138671875,0.25602987408638,118.17192352615425,167.34443586136464,56.394329530482366,-0.1479252278804779,3285.0,114.60226854460079,19807.635824561046
2309.8336274728485,2290000.0,3253.803955078125,0.1573350876569748,153.89212129375795,219.17307546546832,62.39705205818782,-0.27380502223968506,3255.0,189.09988650081672,12110.001980303196
2496.4596996841333,2250000.0,3224.77099609375,0.1614900380373001,148.09588592611405,207.45507413733105,59.32758879211964,-0.7114972472190857,3225.0,184.15225792175272,12218.150488038204
2681.211991378812,2050000.0,3194.9658203125,0.1604623794555664,146.37449337527556,222.75614077287938,68.47265303080557,-0.7483541369438171,3195.0,185.35232546760457,11060.017697799502
2853.6710557127403,2020000.0,3164.98583984375,0.18584078550338745,126.34117859789244,193.49769978004025,67.2353694594133,-0.7676066160202026,3165.0,159.56580320025253,12659.354068897408
2999.4593405846604,1810000.0,3135.345703125,0.22345897555351257,120.15990957016977,192.2521631241281,76.29538513891826,-0.86784827709198,3135.0,132.01076654358755,13711.002877953679
3124.157665472234,1790000.0,3105.24365234375,0.250211626291275,110.80846794926502,172.11957424573384,71.18633816908775,-0.9426644444465637,3105.0,117.38588323156,15248.85233830865
