dis_along_flowline,widths_m,area_m2,consensus_ice_thickness,millan_ice_thickness,millan_v,hugonnet_dhdt
100.0,872.3834819718808,174476.69639437617,44.04045779136067,25.03044650775487,2.6023060985675124,-0.4310322409134728
300.0,1479.1303014191321,295826.06028382643,53.63472690003453,33.650567944124745,6.652950170311378,-0.40467682946049194
500.0,5729.02556441203,1145805.112882406,48.24611110364184,32.41229353481098,6.620375186565085,-0.3328389332782437
700.0,10968.910592064462,2193782.1184128923,54.6834983718761,34.701472992168,7.764096319996476,-0.2324645763280984
900.0,14642.490016653866,2928498.003330773,83.70047475162625,64.60985208525034,14.197100631571919,-0.27704791259847283
1100.0,17294.618218111173,3458923.6436222345,84.79621548325824,81.23810022618699,19.44477231955626,-0.2515266277132316
1300.0,25256.873423499237,5051374.684699847,84.53531223172143,96.88142082694134,26.396235103196133,-0.3536693838173423
1500.0,23332.659117439147,4666531.823487829,92.17039888182296,101.4572744309002,31.248284111268433,-0.3179568046170313
1700.0,22140.18179661732,4428036.359323463,103.36771572540674,133.75314819804387,43.28041230818102,-0.10930350726786578
1900.0,21019.374958152497,4203874.991630499,112.09181381671893,156.2400537431217,52.122587378265614,-0.19702789902400153
2100.0,23027.37586055742,4605475.172111483,113.58871711036372,161.19912598814278,55.80609720233675,-0.23291284242685256
2300.0,12492.914553789626,2498582.9107579254,152.11070905873643,216.7487427350092,61.86543203114427,-0.26565325259615313
2500.0,12084.165648634218,2416833.1297268434,148.58233427432816,208.64544110547277,59.36571051355393,-0.7122035142815261
2700.0,11131.275449148583,2226255.089829717,144.6978816956331,220.51688019620775,68.18038160468383,-0.7504515375313907
2900.0,12874.446294822295,2574889.258964459,124.8132194537272,193.93580129464394,69.95290900310759,-0.7994616469997956
3100.0,14813.881323314743,2962776.2646629484,113.01520613127383,176.77998011450063,72.00978363788292,-0.9281703929467041
3300.0,13435.833132967726,2687166.626593545,115.52188136873266,181.02888605284735,75.54076191707888,-1.1661284104149514
3500.0,10912.332928508597,2182466.5857017194,129.32030006667938,213.5372762854052,81.0070004334228,-1.3196820401490548
3700.0,6998.237048762096,1399647.4097524192,155.20959066615015,260.4301408166902,84.2954917205575,-1.5106714226526317
3900.0,5343.146365289861,1068629.2730579723,174.4888373378645,280.3236017247373,82.56148144072928,-1.5867987890124904
4100.0,4851.287677195186,970257.5354390373,183.9140825838272,295.92787870538956,84.30152703449376,-1.688919341250726
4300.0,4250.236188485152,850047.2376970303,201.96797547971235,325.60545364165836,83.393835790002,-1.7687844626618314
4500.0,3593.7210652788203,718744.2130557641,224.4047228930711,362.4314509058548,81.14124719502713,-1.8373451109392023
4700.0,3538.8023793936886,707760.4758787378,218.58927659880342,360.8757172716757,90.16955773391125,-1.8441401531109851
4900.0,3572.8284837766582,714565.6967553316,208.59680183819705,353.64532402667174,100.86572590168115,-1.8418032780372036
5100.0,3864.915637576873,772983.1275153746,203.26131904851715,349.19847989625265,101.82429537972789,-1.9231062776773367
