478401 5134144
478611 5134021
478447 5133973
478290 5134075
478144 5134051
478069 5133931
478017 5133595
478217 5133138
478521 5132743
478910 5132429
479348 5132191
479820 5132026
480166 5131691
480476 5131299
480722 5130865
480792 5130375
480641 5129901
480459 5129435
480291 5128964
480126 5128492
479873 5128067
480001 5127625
480007 5127125
479861 5126653
479710 5126177
479696 5125687
479826 5125205
479955 5124722
480076 5124236
480188 5123749
480261 5123255
480301 5122756
480317 5122257
480331 5121757
480396 5121262
480496 5120772
480613 5120286
480732 5119800
480838 5119311
480932 5118820
481018 5118328
481098 5117834
481174 5117340
481249 5116846
481324 5116351
481398 5115857
481465 5115361
481525 5114865
481581 5114368
481638 5113871
481697 5113375
481752 5112878
481800 5112380
481834 5111882
481811 5111382
481734 5110889
481615 5110403
481461 5109928
481279 5109462
481068 5109009
480832 5108568
480569 5108143
480292 5107727
480024 5107305
479766 5106876
479521 5106440
479294 5105995
479065 5105551
478828 5105110
478590 5104670
478355 5104229
478136 5103780
477961 5103312
477823 5102831
477726 5102341
477663 5101845
477652 5101346
477688 5100847
477762 5100353
477835 5099858
477909 5099364
477983 5098869
478057 5098375
478131 5097880
478205 5097386
478279 5096891
478352 5096397
478426 5095902
478500 5095407
478574 5094913
478648 5094418
478722 5093924
478796 5093429
478869 5092935
478943 5092440
479017 5091946
479091 5091451
479165 5090957
479239 5090462
479313 5089968
479387 5089473
479460 5088979
479534 5088484
479608 5087990
479682 5087495
479756 5087001
479830 5086506
479904 5086012
479977 5085517
480051 5085023
480125 5084528
480199 5084034
480273 5083539
480347 5083045
480421 5082550
480494 5082056
480568 5081561
480642 5081067
480716 5080572
480790 5080078
480864 5079583
480938 5079089
481011 5078594
481085 5078099
481159 5077605
481233 5077110
481307 5076616
481381 5076121
481455 5075627
481528 5075132
481602 5074638
481676 5074143
481750 5073649
481824 5073154
481898 5072660
481972 5072165
482046 5071671
482119 5071176
482193 5070682
482267 5070187
482341 5069693
482415 5069198
482489 5068704
482563 5068209
482636 5067715
482710 5067220
482784 5066726
482858 5066231
482932 5065737
483006 5065242
483080 5064748
483153 5064253
483227 5063759
483301 5063264
483375 5062770
483449 5062275
483523 5061780
483597 5061286
483670 5060791
483744 5060297
483818 5059802
483892 5059308
483966 5058813
484040 5058319
484114 5057824
484187 5057330
484261 5056835
484335 5056341
484409 5055846
484483 5055352
484557 5054857
484631 5054363
484705 5053868
484778 5053374
484852 5052879
484926 5052385
485000 5051890
485074 5051396
